Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type
13.64,1,0.071,9,157.1,2009,1,1,3
10.03,0,0.016,5,126.66,1987,0,1,2
12.26,0,0.14,13,138.27,2009,1,1,3
10.28,0,0.143,3,147.44,2009,1,1,3
16.38,0,0.082,0,205.16,1999,1,0,0
13.37,0,0.113,0,137.21,2009,1,1,3
11.8,3,0.029,1,144.64,2009,1,1,3
9.61,0,0.026,13,161.79,2009,1,1,3
11.98,0,0.086,6,125.08,2009,1,1,3
11.5,0,0.039,4,159.66,2009,1,1,3
12.66,2,0.153,3,151.92,2009,1,1,3
9.18,2,0.171,4,115.82,1998,2,2,1
13.61,1,0.03,9,146.14,2009,1,1,3
13.18,1,0.059,8,178.63,1999,1,0,0
13.18,0,0.056,6,164.71,2009,1,1,3
10.56,2,0.012,0,131.37,2009,1,1,3
15.45,1,0.036,9,166.22,1999,1,0,0
15.4,0,0.128,6,177.14,1987,0,1,2
13.89,0,0.047,10,153.26,2009,1,1,3
13.31,0,0.1,13,160.34,2009,1,1,3
10.43,2,0.077,13,119.8,1999,1,0,0
12.73,0,0.056,6,144.22,2009,1,1,3
10.95,0,0.027,5,120.35,2009,1,1,3
13.64,2,0.016,4,155.99,2009,1,1,3
13.7,1,0.016,8,136.46,2009,1,1,3
12.74,2,0.025,13,121.39,2009,1,1,3
16.86,0,0.061,6,217.5,1999,1,0,0
11.69,0,0.076,5,141.63,2009,1,1,3
11.76,0,0.124,5,185.36,1987,0,1,2
12.78,0,0.058,13,181.08,1987,0,1,2
18.01,1,0.012,8,229.54,1999,1,0,0
9.99,0,0.04,7,97.16,1998,2,2,1
10.09,1,0.02,9,116.0,1998,2,2,1
11.0,2,0.078,14,167.49,2009,1,1,3
9.5,0,0.05,6,80.23,1998,2,2,1
13.61,2,0.056,6,135.29,2009,1,1,3
12.14,0,0.09,0,95.05,1998,2,2,1
11.73,2,0.048,14,122.21,2009,1,1,3
15.2,0,0.013,0,164.09,1999,1,0,0
14.23,2,0.057,14,156.52,1987,0,1,2
12.95,2,0.114,0,134.98,2009,1,1,3
13.13,2,0.095,13,116.75,2009,1,1,3
12.83,0,0.011,4,150.54,2009,1,1,3
10.84,0,0.049,10,124.93,1998,2,2,1
10.92,0,0.052,6,100.26,1998,2,2,1
13.68,0,0.022,3,169.62,1987,0,1,2
13.02,1,0.02,8,136.03,2009,1,1,3
11.73,0,0.128,14,137.31,2009,1,1,3
13.31,0,0.066,6,162.29,2009,1,1,3
11.68,2,0.142,6,142.45,2009,1,1,3
11.73,0,0.144,3,164.52,2009,1,1,3
12.28,1,0.012,9,206.85,1987,0,1,2
10.86,0,0.058,13,161.79,2009,1,1,3
11.77,0,0.025,4,152.22,1999,1,0,0
17.11,2,0.065,13,180.36,1999,1,0,0
11.49,3,0.11,13,135.98,2009,1,1,3
13.31,2,0.074,13,134.89,2009,1,1,3
10.89,2,0.142,5,112.77,1987,0,1,2
15.26,0,0.168,0,173.03,1987,0,1,2
8.27,1,0.075,8,156.11,2009,1,1,3
14.88,2,0.099,3,146.81,2009,1,1,3
12.44,0,0.093,4,137.86,1998,2,2,1
12.44,0,0.061,3,137.09,2009,1,1,3
12.32,2,0.032,14,181.1,1987,0,1,2
18.12,0,0.031,4,202.1,1999,1,0,0
13.21,0,0.059,14,151.87,2009,1,1,3
7.72,0,0.07,6,123.45,1998,2,2,1
11.8,1,0.046,9,164.82,2009,1,1,3
14.19,0,0.08,6,143.34,2009,1,1,3
13.09,0,0.112,14,123.09,2009,1,1,3
12.01,2,0.019,3,134.17,2009,1,1,3
15.55,0,0.054,5,175.65,1987,0,1,2
14.84,0,0.064,4,135.55,2009,1,1,3
12.04,1,0.064,8,99.19,1987,0,1,2
17.15,0,0.094,0,182.91,1999,1,0,0
9.77,0,0.03,4,132.65,2009,1,1,3
9.88,0,0.032,13,142.22,2009,1,1,3
11.85,0,0.137,1,172.17,2009,1,1,3
15.83,0,0.065,5,180.77,1987,0,1,2
10.71,2,0.066,3,118.97,1987,0,1,2
11.45,0,0.034,4,133.9,2009,1,1,3
10.09,0,0.038,5,129.34,2009,1,1,3
10.15,1,0.016,9,104.0,1998,2,2,1
14.76,1,0.161,9,188.48,1987,0,1,2
13.89,0,0.016,1,143.01,2009,1,1,3
14.53,0,0.092,1,218.91,1999,1,0,0
12.68,0,0.017,13,102.94,2009,1,1,3
13.48,2,0.129,5,142.83,2009,1,1,3
12.41,1,0.042,8,166.09,2009,1,1,3
9.82,0,0.045,0,128.34,1987,0,1,2
10.3,0,0.116,14,130.39,2009,1,1,3
13.14,2,0.034,5,97.35,2009,1,1,3
11.92,2,0.031,4,138.42,1998,2,2,1
10.94,0,0.138,4,121.01,2009,1,1,3
11.65,0,0.058,6,135.76,2009,1,1,3
11.48,0,0.122,4,153.27,2009,1,1,3
11.72,0,0.022,10,133.1,2009,1,1,3
15.11,1,0.014,8,176.72,1987,0,1,2
13.67,0,0.028,5,141.51,2009,1,1,3
10.8,1,0.07,8,135.13,2009,1,1,3
15.97,0,0.011,10,169.76,1987,0,1,2
13.57,3,0.044,4,121.38,2009,1,1,3
16.24,0,0.032,6,196.44,1999,1,0,0
14.3,0,0.076,4,159.21,1987,0,1,2
14.4,0,0.021,4,174.68,1999,1,0,0
12.26,1,0.159,9,124.22,2009,1,1,3
12.71,0,0.18,6,183.54,1999,1,0,0
16.09,2,0.138,6,161.68,1987,0,1,2
7.11,0,0.065,5,96.54,1998,2,2,1
13.08,0,0.128,10,146.35,2009,1,1,3
9.2,0,0.081,13,108.37,1998,2,2,1
16.15,2,0.185,3,168.51,1987,0,1,2
13.44,0,0.011,7,153.62,2009,1,1,3
11.99,2,0.081,4,122.18,2009,1,1,3
12.58,2,0.174,5,110.83,2009,1,1,3
10.85,2,0.111,14,102.41,1998,2,2,1
13.73,0,0.027,6,157.0,2009,1,1,3
14.94,0,0.098,3,132.02,2009,1,1,3
12.33,2,0.16,10,111.53,2009,1,1,3
17.33,1,0.038,8,195.06,1999,1,0,0
13.51,0,0.047,0,144.06,2009,1,1,3
11.49,0,0.06,4,94.19,1998,2,2,1
10.1,0,0.006,6,117.76,1998,2,2,1
13.75,0,0.038,13,150.43,2009,1,1,3
14.52,2,0.019,0,214.98,1999,1,0,0
13.45,2,0.106,0,141.05,2009,1,1,3
11.47,0,0.058,10,178.4,2009,1,1,3
16.03,0,0.064,10,194.26,1999,1,0,0
19.82,0,0.014,3,210.94,1998,2,2,1
11.74,1,0.026,9,123.21,2009,1,1,3
15.79,0,0.069,3,144.12,1987,0,1,2
14.77,0,0.077,15,187.72,1987,0,1,2
13.7,0,0.07,13,183.45,1999,1,0,0
13.06,2,0.191,13,151.96,2009,1,1,3
12.95,1,0.085,9,107.38,2009,1,1,3
